投票区,番号,住所,備考,名称
27,6,大阪府箕面市今宮４丁目４番先,プレザントライフ 東側,No.6 プレザントライフ 東側
27,7,大阪府箕面市今宮３丁目６番内,バス停「箕面墓地公園南（南側）」横ガードレール,No.7 バス停「箕面墓地公園南（南側）」横ガードレール
28,1,大阪府箕面市石丸１丁目１８番１号,萱野東小学校 北側,No.1 萱野東小学校 北側
28,2,大阪府箕面市石丸１丁目１７番１号,第四中学校 北側,No.2 第四中学校 北側
28,3,大阪府箕面市外院１丁目２番内,第二総合運動場入口,No.3 第二総合運動場入口
28,4,大阪府箕面市外院２丁目１２番１３号先,ハイツ阪本 西側,No.4 ハイツ阪本 西側
28,5,大阪府箕面市外院３丁目３番先,今池遊園 南側,No.5 今池遊園 南側
28,6,大阪府箕面市石丸３丁目５番１０号,東側フェンス,No.6 東側フェンス
28,7,大阪府箕面市石丸２丁目１０番７０号,マックスバリュ箕面外院店 北側,No.7 マックスバリュ箕面外院店 北側
29,1,大阪府箕面市小野原西３丁目３６番先,小野原住宅北バス停横,No.1 小野原住宅北バス停横
29,2,大阪府箕面市小野原西６丁目１５番地内,仁鳥公園 北側,No.2 仁鳥公園 北側
29,3,大阪府箕面市小野原西５丁目２番３６号先,箕面市立多文化交流センター西側,No.3 箕面市立多文化交流センター西側
29,4,大阪府箕面市小野原西３丁目１８番地内,松出公園 南側,No.4 松出公園 南側
29,5,大阪府箕面市小野原西６丁目１２番地先,レストラン駐車場 北側,No.5 レストラン駐車場 北側
29,6,大阪府箕面市小野原西３丁目２７番地内,阪急小野原住宅集会所 東側,No.6 阪急小野原住宅集会所 東側
29,7,大阪府箕面市小野原西４丁目１番先,小野原配水地,No.7 小野原配水地
30,1,大阪府箕面市粟生新家１丁目１２番３号先,ガードレール,No.1 ガードレール
30,2,大阪府箕面市小野原西１丁目６番先,北浦橋 東側,No.2 北浦橋 東側
30,3,大阪府箕面市小野原西１丁目３番１号先,魚精寿司店 北側,No.3 魚精寿司店 北側
30,4,大阪府箕面市小野原東１丁目６番先,小野原東公園 西側,No.4 小野原東公園 西側
30,5,大阪府箕面市小野原東３丁目２番１号,豊川南小学校 北側,No.5 豊川南小学校 北側
30,6,大阪府箕面市小野原東２丁目７番先,エレガントマンション 南側,No.6 エレガントマンション 南側
30,7,大阪府箕面市小野原東２丁目９番先,小野原森ノ下公園 北側,No.7 小野原森ノ下公園 北側
31,1,大阪府箕面市小野原東４丁目１番先,荒内谷公園 南側,No.1 荒内谷公園 南側
31,2,大阪府箕面市小野原東４丁目２１番内,北の杜公園 北側,No.2 北の杜公園 北側
31,3,大阪府箕面市小野原東４丁目２７番４３号,とよかわみなみ幼稚園 南側,No.3 とよかわみなみ幼稚園 南側
31,4,大阪府箕面市小野原東６丁目１５番４６号,小野原多世代地域交流センター北側,No.4 小野原多世代地域交流センター北側
31,5,大阪府箕面市小野原東５丁目１４番内,小野原南２号公園 東側,No.5 小野原南２号公園 東側
31,6,大阪府箕面市小野原東６丁目２６番内,けやき公園 西側,No.6 けやき公園 西側
31,7,大阪府箕面市小野原東６丁目３３番内,南の杜公園 北側,No.7 南の杜公園 北側
