通し番号 投票区 番号 設置場所 設置説明
408 57 5 水尾三丁目１４ ニチモグリーンタウン北側水路鉄柵
409 57 6 水尾三丁目１０ 水尾東公園東側金網
410 57 7 水尾三丁目１６ 水尾東児童遊園南側金網
411 58 1 蔵垣内一丁目３ ＬＯＧＩ‘Ｑ南茨木 南門北側道路鉄柵
412 58 2 蔵垣内二丁目１１ レーラッハアインス東側田の南側鉄柵
413 58 3 蔵垣内三丁目１５ 蔵垣内児童遊園西側金網
414 58 4 丑寅二丁目１９ 杉本宅東側阪急電鉄線路フェンス
415 58 5 蔵垣内三丁目２２ コーポラスクマモト西側道路の東側鉄柵
416 58 6 蔵垣内一丁目３ ＬＯＧＩ‘Ｑ南茨木 北門東側道路鉄柵
417 58 7 丑寅二丁目６ 丑寅公園西側植栽
418 59 1 鮎川一丁目７ 新鮮や駐車場南側水路鉄柵
419 59 2 学園町５ ジオ茨木学園町南側歩道金網
420 59 3 鮎川一丁目８ 鮎川公園西側水路鉄柵
421 59 4 鮎川一丁目１１ ジオ茨木学園町２番館東側道路ガードレール
422 59 5 学園町１ 浪商幼稚園南側歩道鉄柵
423 59 6 鮎川一丁目２０ 東コミュニティセンター東側ガードレール
424 59 7 学園町４ 立体駐車場北側水路鉄柵
425 60 1 彩都あさぎ五丁目 あさぎ里山公園内池の西側木柵
426 60 2 彩都やまぶき四丁目 岩阪橋西側歩道鉄柵
427 60 3 彩都あさぎ五丁目 彩都西小学校北側フェンス
428 60 4 彩都あさぎ一丁目１ 彩都西駅自転車駐車場南側フェンス
